binomial,source,source_says_relation,source_says_accepted_parent,source_record_id,authority,synonym_type,contest_class,contest_reason,evidence,n_sources_accepted,n_sources_synonym,all_claimed_parents,name_full
Lissochilus kraenzlinii,wfo,synonym_of,Eulophia orthoplectra,wfo-0000229373,Rolfe,Unknown,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus kraenzlinii Rolfe
Lissochilus latifolius,wcvp,synonym_of,Eulophia friderici,113969,Schltr.,Heterotypic,parent_conflict,"placed in 2 different parents: Eulophia friderici, Eulophia fridericii",explicit,0,2,Eulophia friderici|Eulophia fridericii,Lissochilus latifolius Schltr.
Lissochilus latifolius,wfo,synonym_of,Eulophia fridericii,wfo-0000229378,Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Eulophia friderici, Eulophia fridericii",explicit,0,2,Eulophia friderici|Eulophia fridericii,Lissochilus latifolius Schltr.
Lissochilus latus,wcvp,synonym_of,Eulophia angolensis,113970,Rolfe,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus latus Rolfe
Lissochilus latus,wfo,synonym_of,Eulophia angolensis,wfo-0000229380,Rolfe,Unknown,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus latus Rolfe
Lissochilus latus,user_synonyms,synonym_of,Eulophia angolensis,14372,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus latus
Lissochilus leucanthus,wcvp,synonym_of,Eulophia speciosa,113975,Kraenzl.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus leucanthus Kraenzl.
Lissochilus leucanthus,wfo,synonym_of,Eulophia speciosa,wfo-0000229385,Kraenzl.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus leucanthus Kraenzl.
Lissochilus leucanthus,user_synonyms,synonym_of,Eulophia speciosa,14527,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus leucanthus
Lissochilus lindleyanus,wcvp,synonym_of,Eulophia angolensis,113976,Rchb.f.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus lindleyanus Rchb.f.
Lissochilus lindleyanus,wfo,synonym_of,Eulophia angolensis,wfo-0000229386,Rchb.f.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus lindleyanus Rchb.f.
Lissochilus lindleyanus,user_synonyms,synonym_of,Eulophia angolensis,14377,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus lindleyanus
Lissochilus macer,wcvp,synonym_of,Eulophia macra,113981,(Ridl.) H.Perrier,Homotypic,parent_contested,"all 2 source(s) place it in Eulophia macra, but Eulophia macra is itself contested",explicit,0,2,Eulophia macra,Lissochilus macer (Ridl.) H.Perrier
Lissochilus macer,wfo,synonym_of,Eulophia macra,wfo-0000229392,(Ridl.) H.Perrier,Unknown,parent_contested,"all 2 source(s) place it in Eulophia macra, but Eulophia macra is itself contested",explicit,0,2,Eulophia macra,Lissochilus macer (Ridl.) H.Perrier
Lissochilus mechowii,wcvp,synonym_of,Eulophia orthoplectra,113988,Rchb.f.,Heterotypic,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus mechowii Rchb.f.
